day,start_date,end_date,start_hour,end_hour,start_minute,end_minute,location_type,building,building_name,room_number,room_name,course_number,course_name
3,2019-03-06,2019-04-10,12,13,0,0,2,ligertwood,Ligertwood,333,Lecture Theatre,ABORIG 1001,"Indigenous People, Country & Protocols"
5,2019-03-08,2019-04-12,16,18,0,0,3,barr-smith-south,Barr Smith South,2052,Teaching Room,ABORIG 1001,"Indigenous People, Country & Protocols"
5,2019-03-08,2019-04-12,11,13,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1001,"Indigenous People, Country & Protocols"
4,2019-03-07,2019-04-11,13,15,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1001,"Indigenous People, Country & Protocols"
4,2019-03-07,2019-04-11,11,13,0,0,3,lower-napier,Lower Napier,LG09,Teaching Room,ABORIG 1001,"Indigenous People, Country & Protocols"
4,2019-03-07,2019-04-11,16,18,0,0,3,lower-napier,Lower Napier,LG09,Teaching Room,ABORIG 1001,"Indigenous People, Country & Protocols"
3,2019-03-13,2019-04-10,13,15,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1001,"Indigenous People, Country & Protocols"
3,2019-03-13,2019-04-10,15,17,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1001,"Indigenous People, Country & Protocols"
1,2019-07-29,2019-09-16,9,10,0,0,2,napier,Napier,G03,Lecture Theatre,ABORIG 1002,Indigenous Scholarship & the Interplay of Knowledges
3,2019-07-31,2019-09-18,8,10,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1002,Indigenous Scholarship & the Interplay of Knowledges
2,2019-08-06,2019-09-17,12,14,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1002,Indigenous Scholarship & the Interplay of Knowledges
5,2019-08-09,2019-09-20,15,17,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1002,Indigenous Scholarship & the Interplay of Knowledges
3,2019-08-07,2019-09-18,12,14,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1002,Indigenous Scholarship & the Interplay of Knowledges
1,2019-08-05,2019-09-16,13,15,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 1002,Indigenous Scholarship & the Interplay of Knowledges
1,2019-07-01,2019-07-01,10,11,0,0,2,ligertwood,Ligertwood,231,Lecture Theatre,ABORIG 2002,International Study Tour: Indigenous Knowledges
1,2019-07-01,2019-07-01,12,14,0,0,3,ligertwood,Ligertwood,228,Teaching Room,ABORIG 2002,International Study Tour: Indigenous Knowledges
3,2019-07-31,2019-09-18,9,11,0,0,3,lower-napier,Lower Napier,LG09,Teaching Room,ABORIG 3000,Indigenous Research Issues: Applied Knowledge
4,2019-03-07,2019-04-11,12,13,0,0,3,barr-smith-south,Barr Smith South,2052,Teaching Room,ABORIG 3001,Indigenous Societies: Rights and Responsibilities
4,2019-03-14,2019-04-11,13,15,0,0,3,barr-smith-south,Barr Smith South,2052,Teaching Room,ABORIG 3001,Indigenous Societies: Rights and Responsibilities
1,2019-03-11,2019-04-08,14,16,0,0,3,hartley,Hartley,122,Teaching Room,ABORIG 3001,Indigenous Societies: Rights and Responsibilities
2,2019-03-12,2019-03-12,12,13,0,0,0,mawson,Mawson,134,Sprigg Room,ACCTFIN 3500,Accounting and Finance Capstone
4,2019-03-14,2019-04-11,17,18,0,0,0,benham,Benham,G25,Peter Martin Room,ACCTFIN 3500,Accounting and Finance Capstone
